product_id,product_name,aisle_id,department_id,unit_cost,unit_price
62,Premium Deli Oven Roasted Turkey Breast,96,20,24.3,27
63,Banana & Sweet Potato Organic Teething Wafers,92,18,5.4,6
64,Autumn Vegetable & Turkey Dinner with Lil' Bits Purees Dinner,92,18,15.3,17
65,Organic Red Wine & Olive Oil Dressing Organic,89,13,21.6,24
66,European Style Spring Mix,123,4,10.8,12
67,"Jelly, Blackberry",88,13,7.2,8
68,"Pancake Mix, Buttermilk",130,14,18.9,21
69,Vanilla with Almond Milk Iced Coffee,26,7,4.5,5
70,Sweet Cooking Rice Seasoning,66,6,5.4,6
71,Ultra 7 Inch Polypropylene Traditional Plates,111,17,38.7,43
72,Organic Honeycrisp Apples,100,21,36,40
73,Jasmine Tea Unfiltered Ginger Ale,77,7,35.1,39
74,Artisan Chick'n & Apple Sausage,14,20,18,20
75,"Hemp Protein, Organic",65,11,19.8,22
76,Spinach Basil Garlic Linguini,12,9,8.1,9
77,Coconut Chocolate Chip Energy Bar,3,19,45,50
78,Nutter Butter Cookie Bites Go-Pak,61,19,21.6,24
79,Wild Albacore Tuna No Salt Added,95,15,4.5,5
80,French  Tarragon Wine Vinegar,19,13,13.5,15
81,Blakes Chicken Parmesan Dinner,38,1,22.5,25
82,All Natural 100% Apple Juice,98,7,14.4,16
83,100% Whole Wheat Pita Bread,128,3,19.8,22
84,Lamb Shank,7,12,8.1,9
85,Soppressata Piccante,96,20,40.5,45
86,"Camilia, Single Liquid Doses",6,2,31.5,35
87,Classics Earl Grey Tea,94,7,28.8,32
88,Probiotics High Potency Capsules,47,11,4.5,5
89,Yogurt Fruit Dip Sliced Apples,123,4,4.5,5
90,Smorz Cereal,121,14,11.7,13
91,Kind Prenatal Once Daily,47,11,11.7,13
92,Meat In The Middle Large Rawhide Chews,40,8,36.9,41
93,Uncured Cracked Pepper Beef,23,19,18,20
94,Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups,92,18,36.9,41
95,Organic Rice Vinegar,66,6,8.1,9
96,Sprinklez Confetti Fun Organic Toppings,97,13,32.4,36
97,Organic Chamomile Lemon Tea,94,7,32.4,36
98,2% Yellow American Cheese,2,16,36.9,41
99,Local Living Butter Lettuce,83,4,14.4,16
100,Peanut Butter & Strawberry Jam Sandwich,38,1,10.8,12
101,"Bread, Healthy Whole Grain",112,3,18,20
102,Danish Butter Cookies,61,19,26.1,29
103,Sprouted Kale Cracker,78,19,26.1,29
104,High Fiber Tomato Basil Soup,69,15,21.6,24
105,Easy Grab 9\x13\ Oblong Glass Bakeware,10,17,18,20
106,Organic Yummy Tummy Maple & Brown Sugar Instant Oatmeal,92,18,31.5,35
107,Mild Salsa Divino,51,13,42.3,47
108,Organic Sprouted Barley Bread,112,3,9.9,11
109,Grape Leaf Hummus Wrap,13,20,12.6,14
110,Uncured Turkey Bologna,100,21,30.6,34
111,"Fabric Softener, Geranium Scent",75,17,36.9,41
112,Hot Tomatillo Salsa,51,13,5.4,6
113,Infant's Blend Probiotic,70,11,36,40
114,Light Savory Beef Barley Vegetable Soup,69,15,8.1,9
115,Scooby-Doo! Fruit Flavored Snacks,50,19,6.3,7
116,English Muffins,93,3,7.2,8
117,Petit Suisse Fruit,2,16,26.1,29
118,Ground Turkey Chub,34,1,16.2,18
119,Chardonnay Paso Robles,62,5,42.3,47
120,Cauliflower Florettes,123,4,44.1,49
121,Sharp Cheddar,21,16,15.3,17
122,Pomegranate Molasses,29,13,13.5,15
123,Sherry Reserve Vinegar,19,13,11.7,13
124,Sun Cups Dark Chocolate,45,19,16.2,18
125,Herbal Armor DEET-Free Natural Insect Repellant,118,11,11.7,13
126,Hot & Spicy Chicken Flavor Ramen Noodles,4,9,19.8,22
127,Marscapone,108,16,43.2,48
128,Organic Wild Blueberries,116,1,40.5,45
129,Traditional Chicken & Orzo with Lemon Soup,69,15,16.2,18
130,Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,37,1,13.5,15
131,Brioche Bachelor Loaf,93,3,30.6,34
132,Yogurt Strawberry Pomegranate,120,16,27.9,31
133,Purifying Daily Detox Scrub,109,11,28.8,32
134,Stain Release Boost In-Wash Stain Remover Pacs,75,17,23.4,26
135,Dark Chocolate Ice Cream Topping,103,19,21.6,24
136,Simple,45,19,27,30
137,Very Vanilla Soymilk,91,16,20.7,23
138,Olli Napoli Salami,96,20,9.9,11
139,"Zita Cut, No. 118",131,9,33.3,37
140,Chips Onion Chipotle Garlic,107,19,33.3,37
141,Restaurant Style Organic Chia & Quinoa Tortilla Chips,107,19,32.4,36
142,Arugula Salad,123,4,20.7,23
143,Organic Lemons,24,4,12.6,14
144,Coarse Grind Garlic Powder & Parsley Blend,104,13,40.5,45
145,Traditional Water Crackers,78,19,12.6,14
146,Anti Diarrheal Caplets,70,11,41.4,46
147,Organic Ranch Veggie Dip,67,20,8.1,9
148,Nectarines,24,4,44.1,49
149,Wild Blueberry All Natural Fruit Spread,88,13,27.9,31
150,Brut Rosé,134,5,36.9,41
151,Aromatherapaes Stress Reducing Lavender & Chamomile Spa Bath,132,11,18,20
152,"3 in 1 Soap for Every Man, Cucumber & Lemon",25,11,37.8,42
153,"Fabric Refresher Meadows & Rain Air Freshener (1 Count, 27 oz)  Air Care",75,17,29.7,33
154,"Corn Dogs, Mini, Honey Crunchy Flavor",129,1,34.2,38
155,Artisan Ciabatta,58,1,9,10
156,Extra Spearmint Sugar-Free Gum,46,19,22.5,25
157,Living Organic Cilantro,16,4,39.6,44
158,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,96,20,29.7,33
159,"Calcium Adult Gummy Vitamins, Orange Cherry & Strawberry",47,11,26.1,29
160,100% Recycled Aluminum Foil,97,13,21.6,24
161,Hacho Miso Aged & Fermented Soybeans,66,6,7.2,8
162,Organic Mini Homestyle Waffles,52,1,27,30
163,Dressing Bleu Cheese,89,13,40.5,45
164,Peanut Butter Cacao Quinoa Clusters,3,19,23.4,26
165,Wild Chanterelle Mushroom Ravioli,12,9,40.5,45
166,Garlic Parmesan Pita Bread Chips,107,19,4.5,5
167,Sparkling Blush Grape Juice,77,7,8.1,9
168,Halves & Pieces Walnuts,17,13,10.8,12
169,Extra Sharp Cheddar Cheese,21,16,9.9,11
170,Single Herbs Ginkgo Leaf Dietary Supplement,47,11,31.5,35
171,Steakhouse Onion Burger with Garlic Seasoning,5,13,9.9,11
172,Gluten Free All Natural Chocolate Chip Cookies,61,19,15.3,17
173,Habanero Lime Shrimp Flavor Ramen Noodle Soup,4,9,17.1,19
174,Vanishing Acne Treatment Cream,73,11,8.1,9
175,T Bone Steak,122,12,44.1,49
176,Original Turkey,96,20,27,30
177,Citrus Terere Yerba Mate,94,7,13.5,15
178,Vegan Santa Fe Style Flour Tortilla Rolled Tacos,42,1,24.3,27
179,Penne Rigate With Spinach,131,9,9,10
180,Simply Beyond Black Bean Tortilla Chips,107,19,13.5,15
181,Country Style Baked Beans,59,15,41.4,46
182,Acti-Fresh Body Shape Long Unscented To Go Panty Liners,126,11,14.4,16
183,Cookie Dough Performance Energy,3,19,34.2,38
184,Kisses Milk Chocolate Candy,45,19,9,10
185,Chicken Nugget Meal,38,1,26.1,29
186,Fresh Scent Dishwasher Detergent with Dawn,74,17,11.7,13
281,Chai Tea Bags,94,7,43.2,48
187,Wild Sardines in Marinara Sauce,95,15,7.2,8
188,Mild El Nino Salsa,67,20,9,10
189,Healthfull Nuts & Seeds Bread,112,3,9,10
190,Classic Culinary Low Sodium Vegetable Broth,69,15,32.4,36
191,Medium Spicy Butter Chicken Simmer Sauce,9,9,44.1,49
192,Israeli Style Gefilte Fish,33,6,30.6,34
193,fruitwater® Strawberry Kiwi Sparkling Water,98,7,11.7,13
194,Lamb Rib Chops,122,12,18,20
195,Grade A Pasteurized 2% Milkfat Lowfat Cottage Cheese with Pineapple,108,16,34.2,38
196,Soda,77,7,34.2,38
197,Cold Brew Coffee Tahitian Vanilla,26,7,14.4,16
198,Tzatziki Cucumber Sauce,67,20,45,50
199,Herb Thyme Clamshell,16,4,5.4,6
200,Radiant Pantiliners Regular Wrapped Unscented,126,11,13.5,15
201,Sloppy Joe,38,1,43.2,48
202,Spinach & Feta Pierogi,38,1,44.1,49
203,"Rescue Remedy, Spray",11,11,43.2,48
204,Free & Clear Natural Laundry Detergent For Sensitive Skin,75,17,43.2,48
205,Chocolate Mint Cookie Crunch Nutrition Bar,3,19,10.8,12
206,Roasted Vegetable Soufflé,38,1,43.2,48
207,Minis Candy Bars,45,19,11.7,13
208,Vanilla Almond Cashew Almondmilk Cashewmilk Blend,91,16,44.1,49
209,Italian Pasta Salad,1,20,27,30
210,Homemade Hot Arrabbiata Fra Diavolo Sauce,9,9,5.4,6
211,Gluten Free Organic Cereal Coconut Maple Vanilla,130,14,36,40
212,Organic Blue Corn Sea Salt Tortilla Chips,107,19,40.5,45
213,Tapatio Salsa Picante Hot Sauce Tortilla Chips,107,19,22.5,25
214,Argan Oil of Morocco Renewing Weightless Healing Dry Oil Hair Oil,22,11,17.1,19
215,Sambal Oelek Ground Fresh Chili Paste,66,6,9.9,11
216,"Gluten Free Oatmeal, Variety Pack",130,14,13.5,15
217,"String Cheese, Mozzarella",108,16,19.8,22
218,6\ Organic Carrot Cake,8,3,33.3,37
219,Totz Toothbrush Extra Soft 18+ Months,82,18,13.5,15
220,Tegaderm Waterproof Transparent Dressing,118,11,24.3,27
221,Cayenne Lemonade Made With Raw Tristate Honey,31,7,17.1,19
222,Honey Nut Oatmeal Squares,121,14,39.6,44
223,Kiwi Strawberry Sparkling Water,115,7,42.3,47
224,Foaming Hand Soap Kid Watermelon,114,17,10.8,12
225,3 Seed Blue Corn Dipping Chips,107,19,18.9,21
226,Shaved Parmesan Cheese,21,16,20.7,23
227,Triple Chocolate Snack Size,45,19,33.3,37
228,Organic Soups Lentil,69,15,38.7,43
229,EcoNet Recycled Bath Sponge,109,11,33.3,37
230,Vanilla Cream Soda,77,7,17.1,19
231,Low Sodium Turkey,49,12,37.8,42
232,Blue Bottle Coffee Frozen Bar,37,1,13.5,15
233,Chinese Breakfast Black Tea,94,7,22.5,25
234,Tennessee Whiskey,124,5,9,10
235,Gluten Free Blueberry Muffin Mix,105,13,13.5,15
236,Chicken Meatballs Dog Treats,40,8,10.8,12
237,Brambleberry Herbal Tea,94,7,4.5,5
238,Alpha-Bits Multigrain Cereal,121,14,43.2,48
239,Chicharrones Picante Flavor Pork Rinds,107,19,33.3,37
240,Nature's Seasons Seasoning Blend,104,13,21.6,24
241,Shrimp with Pasta & Vegetables,38,1,27.9,31
242,Original Red Twists,45,19,9,10
243,Taco Reduced Sodium Seasoning Mix,5,13,15.3,17
244,Organic Roasted Garlic Pasta Sauce,9,9,13.5,15
245,Poppy Seed Bagels,93,3,24.3,27
246,Triple-Acting Laundry Stain Remover,75,17,9,10
247,Perfectly Thymed Pita Crisps Baked,107,19,26.1,29
248,Dried Sweetened Cranberries,117,19,35.1,39
249,"Pinot Grigio, California, 2010",62,5,44.1,49
250,"Authentic Deep Dish, Spinach & Garlic Pizza",79,1,25.2,28
251,Extra Strength Melatonin Adult Gummies,47,11,45,50
252,"Waffles, Red Berry",121,14,31.5,35
253,Organic Vegetable Greens & Greens Juice Blend,31,7,18,20
254,Honey Mustard,72,13,22.5,25
255,"Cold Remedy, Quick Dissolve Tablets, Cherry Flavor",11,11,6.3,7
256,Island Fruits Fruit Snacks,50,19,44.1,49
257,Key Lime Soda,77,7,13.5,15
258,Vegetable Pot Pie,38,1,20.7,23
259,Imported Italian Solid Light Tuna In Pure Olive Oil,95,15,19.8,22
260,Cantaloupe,24,4,17.1,19
261,Organic Southwestern Burrito,38,1,40.5,45
262,Petite Dill Pickles,110,13,32.4,36
263,Red Food Color,97,13,12.6,14
264,Non-Fat Blueberry on the Bottom Greek Yogurt,120,16,27.9,31
265,Glass Storage Container with Green Silicone Protection,85,17,22.5,25
266,Rio Berry,64,7,26.1,29
267,Triple Chocolate Ripple,37,1,17.1,19
268,Sponge Mop,114,17,4.5,5
269,Stuffed Crust Five Cheese Pizza,79,1,11.7,13
270,OneZip Storage Bags Quart Size Value Pack,85,17,4.5,5
271,TAI PEI      14OZ.SWEET & SOUR CHKN,38,1,24.3,27
272,Propolis Herbal Supplement,47,11,7.2,8
273,Thin Stackers Brown Rice  Salt Free,107,19,40.5,45
274,Snack Bags,87,17,21.6,24
275,Caramel Sauce,103,19,32.4,36
276,French Vanilla Ice Cream,37,1,16.2,18
277,Diet Root Beer,77,7,5.4,6
278,Instant Mashed Potatoes,4,9,17.1,19
279,Everyday Detox Dandelion Tea,94,7,28.8,32
280,Makeup Remover Cleansing Towelettes,73,11,18,20
282,Oh My Cod! Cod Pate and Vegetables Cat Food,40,8,9.9,11
283,Organic Whole Wheat Elbows,131,9,19.8,22
284,Organic Spicy Heirloom Marinara Sauce,9,9,36.9,41
285,Mini Nilla Wafers Munch Pack,61,19,5.4,6
286,Lite Poppy Seed Dressing Lite,89,13,10.8,12
287,Turkey,96,20,36,40
288,Original Sprouted Grains Protein & Fiber Hot Oatmeal,130,14,8.1,9
289,100% Juice No Sugar Added Fruit Punch,98,7,8.1,9
290,Organic Peppermint Lemonade,31,7,33.3,37
291,Mint Dental Floss,20,11,12.6,14
292,Fresh Multi-Purpose Contact Lens Solution,44,11,4.5,5
293,Prime Filets Chicken & Tuna Dinner in Gravy Cat Food,41,8,26.1,29
294,Minis Original Saltine Crackers,78,19,33.3,37
295,Chewables Extra Strength Cherry Creme - 48 CT,70,11,17.1,19
296,For Men Odor Armor Body Wash,127,11,20.7,23
297,"Write Bros Ball Point Pens, Cap-Pen, Medium (1.0 mm), Black Ink",100,21,4.5,5
298,Brisk With Lemon Iced Tea,94,7,43.2,48
299,Organic Apple Spinach Kale Coconut Water Superjuice,98,7,34.2,38
300,Organic Enriched Unbleached White Flour,17,13,19.8,22
301,"Biotin 10,000mcg Maximum Strength",47,11,11.7,13
302,Gourmet Dog Treats Bone,40,8,36,40
303,"Candy, Original",45,19,43.2,48
304,Dry Roasted Pistachios,117,19,9,10
305,Wild Forest Raw Neem Honey,29,13,32.4,36
306,Gold Potatoes,83,4,8.1,9
307,Precious Mozzarella Cheese,21,16,4.5,5
308,Advanced Haircare Color Vibrancy Nourishing Shampoo,22,11,12.6,14
309,Graduates Lil' Entrees Spiral Pasta In Turkey Meat Sauce With Green & Yellow Beans,92,18,10.8,12
310,"Crackers, Puffed, Corn, Quinoa & Sesame",78,19,15.3,17
311,Naturals Savory Turkey Breakfast Sausage,52,1,6.3,7
312,Juicing Carrots,83,4,23.4,26
313,Peppermint/Banana Split Variety Pack Frozen Dairy Dessert Cones,37,1,30.6,34
314,Extra Whitening Multi-Benefit Fluoride Toothpaste,20,11,37.8,42
315,Creamy Italian Dressing Marinade,89,13,34.2,38
316,Revive Anti-Perspirant Deodorant,80,11,25.2,28
317,Best Grains Honey & Crunch Oat Bread,112,3,39.6,44
318,Apple Cinnamon Crisp Candle,101,17,8.1,9
319,Steamfresh Chef's Favorites Lightly Sauced Roasted Red Potatoes & Green Beans,116,1,32.4,36
320,"Glycerine Soap, Pure and Natural, Cucumber",25,11,34.2,38
321,Echinacea Goldenseal Alcohol Free Extract,47,11,10.8,12
322,Brooklyn Pizza Dough,79,1,36,40
323,Natural Food Color Packets,17,13,45,50
324,Strong & Kind Roasted Jalapeno Almond Protein Bar,3,19,31.5,35
325,Veggie-Style Mini Corn Dogs,42,1,8.1,9
326,Deluxe Sauce Made with 2% Milk Cheese Macaroni & Cheese Dinner,4,9,4.5,5
327,"Green Peas, Organic, Petite",116,1,14.4,16
328,Disinfectant Spray Cherry Blossom & Pomegranate Scent,101,17,27.9,31
329,Organic Whole Grassmilk Milk,84,16,45,50
330,Chilpotles in Adobo Sauce,30,6,18,20
331,Organic Lemon Gingersnap,61,19,7.2,8
332,Raspberry Fig Bars,3,19,31.5,35
333,Basil Daly Bar Soap,25,11,12.6,14
334,Sparkling Raspberry Lemonade Water Beverage,115,7,42.3,47
335,Blueberry Kombucha,31,7,9.9,11
336,Black Currant Kombucha,31,7,32.4,36
337,"Soap, Pure-Castile, 18-in-1 Hemp, Lavender",25,11,19.8,22
338,Yahrzeit Light Memorial Candle,33,6,27,30
339,Creamline Yogurt Wild Blueberry,120,16,20.7,23
340,Eco-Pac Kamut Puffs Cereal,121,14,34.2,38
341,Cheese Creations Four Cheese Cheese Sauce,9,9,15.3,17
342,"Complete Health Deboned Chicken, Chicken Meal and Rice Cat Food",41,8,5.4,6
343,Organic Whole Peeled Baby Carrots,123,4,5.4,6
344,Lime Sherbet,37,1,37.8,42
345,Extra Strength Berry,64,7,35.1,39
346,Sunflower Bread,112,3,25.2,28
347,"Vegetable Salad Kit, Sweet Kale",123,4,15.3,17
348,Super Slimming Herbal Tea,94,7,9.9,11
349,Organic Granulated Tapioca,17,13,29.7,33
350,Mixed 12 Pack Lion's Share Ale,27,5,31.5,35
351,Go Fresh Nutrium Moisture Body Wash Blue Fig & Orange Blossom Scent,127,11,21.6,24
352,Colby Jack & Mild Cheddar Combo Pack,21,16,32.4,36
353,Tzatziki Greek Yogurt Dip,67,20,30.6,34
354,Twist n Loc Small Round Containers + Lids,85,17,33.3,37
355,Ground Flaxseed With Mixed Berries,117,19,36,40
356,Ristorante Pizza Spinaci Thin Crust Pizza,79,1,10.8,12
357,White Writing Gel,97,13,42.3,47
358,Frozen All Butter Pound Cake,119,1,29.7,33
359,Deli Thin-Sliced Honey Ham,96,20,38.7,43
360,Whole Wheat Spanakopita,129,1,14.4,16
361,Day and Night Multi-Symptom and Severe Cold & Cough Pain Reliever/Fever Reducer,11,11,13.5,15
362,Pound Cake Cake Mix,105,13,42.3,47
363,Water Crackers Original All Natural,78,19,5.4,6
364,Greener Selection Salad,123,4,35.1,39
365,Cheerios Cereal,121,14,12.6,14
366,Vitamin C 1000 Mg Tropical Drink Mix Dietary Supplement,47,11,29.7,33
367,Ultimate Omega 1000 mg Lemon Soft Gels,47,11,28.8,32
368,Fabric Softener Dryer Sheet Free & Gentle 200CT Fabric Enhancers,75,17,44.1,49
369,New Mexico Chili,30,6,44.1,49
370,Chocolate Caramel Whey Protein Bar,3,19,7.2,8
371,Juniper Berry Soda,77,7,39.6,44
372,Moisture Rich Sweet Orange & Argan Conditioner,22,11,33.3,37
373,Honey Glazed Carrots,116,1,27.9,31
374,Sliced Kosher Salami,96,20,32.4,36
375,Multigrain Spaghetti Style Pasta,131,9,16.2,18
376,Even & Bright Pink Lemon and Mandarin Orange Body Wash,127,11,22.5,25
377,Chunky Beef with Vegetables & Brown Rice Dog Food,40,8,9.9,11
378,Powerball Quantum Max Shine & Protect Automatic Dishwasher Detergent,74,17,22.5,25
379,Super Dry Beer,27,5,7.2,8
380,Clementine Bag,123,4,39.6,44
381,Toaster Pops Strawberry,52,1,6.3,7
382,Sugar Free Mint Patties,45,19,26.1,29
383,Breaded Chicken Breast Tenders,34,1,9.9,11
384,EverCurl Hydracharge Conditioner,22,11,29.7,33
385,Liquid Drink Mix Blackberry Lemonade,90,7,21.6,24
386,Real Chicken & Veggies Recipe Dog Food,40,8,8.1,9
387,Chocolate Brownie Flavor Protein Bar,3,19,12.6,14
388,Stove Top Stuffing Mix for Turkey,4,9,24.3,27
389,Mache Blend,123,4,27.9,31
390,Super Enzymes,47,11,40.5,45
391,Organic Yukon Gold Potato Bag,83,4,8.1,9
392,OPA Greek Yogurt Ranch Dressing,89,13,30.6,34
393,Phoenix Anti-Perspirant & Deodorant Stick Twin Pack,80,11,32.4,36
394,Aquaphor Healing Ointment,127,11,27.9,31
395,Sweet Cream Buttermilk Powder,17,13,13.5,15
396,Cashews Natural Unsalted,37,1,41.4,46
397,Pure Granulated Cane Sugar,17,13,30.6,34
398,Organic Hard Candy Blood Orange and Honey,45,19,11.7,13
399,Organic Strawberry Lemon-ade,31,7,23.4,26
400,Grass-Fed Yogurt Blueberry Cardamom,120,16,4.5,5
401,"Flat Floss, Antiplaque, Naturally Waxed, Spearmint",20,11,43.2,48
402,100% Pure Beef Homestyle Patties,34,1,4.5,5
403,Ultra Thin Pastrami,96,20,35.1,39
404,Reg; Organic Apple Cider Vinegar 16 Fl Oz,19,13,20.7,23
405,100% Organic Diced Tomatoes,81,15,31.5,35
406,Vanilla Almond Protein Bar,3,19,16.2,18
407,Almond Glow Almond Body Lotion/Massage Oil,109,11,18,20
408,Pink Vitamin C 1000 Mg Pink Lemonade Drink Mix,47,11,41.4,46
409,Original Bite Size Candies Natural & Artificial Flavors Fun Size,45,19,41.4,46
410,Holiday Sugar Plum Spice Herbal Tea,94,7,27,30
411,Super Plus Cardboard Applicator Unscented Tampons,126,11,45,50
412,Brazilian Keratin & Argan Oil Leave-In Conditioning & Styling Elixir,22,11,12.6,14
413,Dual Action Beta Immune and Anti-Oxidant Effervescent Citrus,11,11,34.2,38
414,Gluten Free Chicken Rustica Pizza,79,1,19.8,22
415,16 oz Cold Cups,111,17,38.7,43
416,Laundry Soil Stain Remover,75,17,14.4,16
417,Classics Baby Binks Easter Chocolate Bunny,100,21,38.7,43
418,Whole Grain Linguine Pasta,131,9,10.8,12
419,Light & Fit Strawberry Cheesecake Greek Nonfat Yogurt,120,16,18,20
420,International Cafe French Vanilla Mix,26,7,17.1,19
421,Garlic & Herb Fresh Goat Cheese,21,16,22.5,25
422,Mix-Up Flamin' Hot & Cheezy Mix Flavored Snack Mix,107,19,37.8,42
423,Red Jalapeno Caesar Dressing,89,13,29.7,33
424,Linguine Pasta,131,9,6.3,7
425,Sardines in Water Salt Added,33,6,10.8,12
426,2nd Foods Bananas,92,18,18.9,21
427,Italian Style Panko Breadcrumbs,5,13,40.5,45
428,Everyday Mega Pack Paper Plates,111,17,18,20
429,Dark Red Kidney Beans,59,15,40.5,45
430,Born Yesterday Pale Ale,27,5,20.7,23
431,"Ice Cream, Cookies & Cream",37,1,25.2,28
432,Vanilla Almond Breeze Almond Milk,91,16,42.3,47
433,Organic Whole Granulation Roasted Buckwheat Groats,107,19,18.9,21
434,Beach Sage Liquid Fabric Softener,75,17,42.3,47
435,Dark Chocolate Raisins,50,19,42.3,47
436,Petite Brussels Sprouts,116,1,21.6,24
437,Strawberry Cheesecake Nonfat Yogurt,100,21,22.5,25
438,Special K Vanilla Cappuccino Protein Breakfast Shakes,48,14,27,30
439,Crispy Cinnamon Pear Chips,50,19,9,10
440,Crossovers Olive Thyme Almond,100,21,36,40
441,Antioxidant Cranberry Body Wash,25,11,36.9,41
442,Sliced Chicken Entree Cat Food,41,8,33.3,37
443,Ultra Power Plus Laundry Detergent 54 loads,75,17,34.2,38
444,Special Recipe Italian Bread,112,3,9.9,11
445,Almond Honey Protein+ Bar,3,19,12.6,14
446,Blueberry Pomegranate Acaí Cultured Goat Milk Kefir,120,16,6.3,7
447,"Tea, Superflower, Hibiscus, Blueberry, Caffeine-Free, Bags",94,7,36.9,41
448,White Chicken Chili,59,15,25.2,28
449,Chips Ahoy! Chewy Cookies,61,19,18.9,21
450,Chow Mein Thin Noodles,4,9,44.1,49
451,"Almond Spread, Dark Chocolate",88,13,27,30
452,Sleepytime Sinus Soother Herbal Tea,94,7,13.5,15
453,Hummus Wrap,13,20,45,50
454,Sloppy Joe Sauce,51,13,10.8,12
455,Ibuprofen Liquid Gels,133,11,25.2,28
456,Sparkling Blueberry,77,7,39.6,44
457,Whole Wheat Fig Bar,48,14,34.2,38
458,Total Advanced Floss Tip Medium Toothbrush,20,11,25.2,28
459,Honey Vanilla Greek Yogurt,120,16,7.2,8
460,Acai Dragonfruit Melon Green Tea,94,7,15.3,17
461,Sore Throat Wild Cherry Lozenges,11,11,32.4,36
462,Fiber 4g Gummy Dietary Supplement,70,11,27.9,31
3061,Swiss Rolls,61,19,39.6,44
463,Salt Free Seasoning,104,13,8.1,9
464,Liquid Water Enhancer Peach Green Tea With Ginseng & Honey,90,7,43.2,48
465,100% Natural Just Peaches,50,19,20.7,23
466,Old Fashioned Vegetable Beef Soup,69,15,30.6,34
467,"Soup, Lower Sodium, Organic, Split Pea",69,15,9.9,11
